fact_id,raw_name,metric_core,evidence,nearest_canonical_1,score_1,nearest_canonical_2,score_2,nearest_canonical_3,score_3,unit_compatible,role_compatible,denominator_compatible,block_reasons,why_not_top_candidate,recommended_action,review_status,fact_metric_subject_draft,fact_metric_role_draft,fact_flow_direction_draft,fact_denominator_type_draft,fact_unit_family,top_canonical_metric_subject,top_canonical_metric_role,top_canonical_flow_direction,top_canonical_denominator_type,top_canonical_unit_family,definition_score_1,metric_core_score_1,alias_score_1,definition_drifted_1
nestle_india_p210_1_fact_16,Scope 2 emissions including IRECs Net,scope_2_emissions_including_IRECs_net,"Scope 2 emissions including IRECs: 2022: Net: 1,571 Metric ton of CO2 Equivalent",scope_2_emissions,0.957,scope_3_emissions_absolute,0.714,combined_scope_1_2_emissions,0.657,true,false,false,role_mismatch;denominator_mismatch,"Nearest canonical scope_2_emissions is not alias-eligible because: role_mismatch, denominator_mismatch.",standard_mapping_candidate,pending,emissions,intensity,ratio,production,weight,emissions,generation,output,,weight,0.552,0.638,0.630,false
nestle_india_p210_1_fact_2,NOx,NOx,"Parameter Please Specify Unit 15 Months FY ended 31st March 2024 (Jan 2023 to March 2024) FY 2022 (Jan 2022 to Dec 2022) NOx kgSOxe 383,882 319,726",nox_emissions_absolute,0.640,sox_emissions_absolute,0.529,scope_3_emissions,0.356,false,true,true,unit_mismatch,Nearest canonical nox_emissions_absolute is not alias-eligible because: unit_mismatch.,do_not_promote,pending,emissions,generation,output,,unknown,emissions,generation,output,,weight,0.697,0.261,1.000,false
nestle_india_p210_1_fact_7,Total Scope 2 emissions Gross,scope_2_greenhouse_gas_emissions,"Total Scope 2 emissions (Break-up of the GHG into CO2, CH4, N2O, HFCs, PFCs, SF6, NF3 if available) Metric ton of CO2 Equivalent Gross:151,936 Gross: 128,646",scope_2_emissions,0.997,scope_3_emissions_absolute,0.894,combined_scope_1_2_emissions,0.706,true,false,true,fact_untyped,Nearest canonical scope_2_emissions is not alias-eligible because: fact_untyped.,standard_mapping_candidate,pending,emissions,,unknown,,weight,emissions,generation,output,,weight,0.577,0.698,0.739,false
nestle_india_p210_1_fact_8,Total Scope 2 emissions Gross,scope_2_greenhouse_gas_emissions,"Total Scope 2 emissions (Break-up of the GHG into CO2, CH4, N2O, HFCs, PFCs, SF6, NF3 if available) Metric ton of CO2 Equivalent Gross:151,936 Gross: 128,646",scope_2_emissions,0.997,scope_3_emissions_absolute,0.894,combined_scope_1_2_emissions,0.706,true,false,true,fact_untyped,Nearest canonical scope_2_emissions is not alias-eligible because: fact_untyped.,standard_mapping_candidate,pending,emissions,,unknown,,weight,emissions,generation,output,,weight,0.577,0.698,0.739,false
nestle_india_p210_2_fact_1,specific GHG emission excluding International Renewable Energy Certificates (IRECs),ghg_emission,"As a result, in 15 Months FY ended 31st March 2024 specific GHG emission reduced from 538 KgCO2eq per ton to 510 KgCO2eq per ton which is excluding International Renewable Energy Certificates (IRECs) purchased for electricity consumption, a reduction of 5.2%.",ghg_emissions_avoided,0.587,combined_scope_1_2_emissions_intensity,0.555,scope_3_emissions_intensity,0.550,true,false,false,subject_mismatch;role_mismatch;denominator_mismatch,"Nearest canonical ghg_emissions_avoided is not alias-eligible because: subject_mismatch, role_mismatch, denominator_mismatch.",standard_mapping_candidate,pending,energy,consumption,consumed,production,weight,emissions,avoidance,avoided,,weight,0.585,0.733,0.314,false
nestle_india_p210_2_fact_2,specific GHG emission excluding International Renewable Energy Certificates (IRECs) reduction,ghg_emission,"As a result, in 15 Months FY ended 31st March 2024 specific GHG emission reduced from 538 KgCO2eq per ton to 510 KgCO2eq per ton which is excluding International Renewable Energy Certificates (IRECs) purchased for electricity consumption, a reduction of 5.2%.",ghg_emissions_intensity,0.620,ghg_emissions_avoided,0.609,scope_3_emissions_absolute,0.606,true,false,true,subject_mismatch;role_mismatch,"Nearest canonical ghg_emissions_intensity is not alias-eligible because: subject_mismatch, role_mismatch.",standard_mapping_candidate,pending,energy,consumption,consumed,production,percentage,emissions,intensity,ratio,production,percentage,0.639,0.688,0.351,false
nestle_india_p210_2_fact_3,specific GHG emission including International Renewable Energy Certificates (IRECs),ghg_emission,"Including IRECs, GHG emission reduced from 325 KgCO2eq per ton to 306 KgCO2eq per ton, a reduction of 5.85%.",ghg_emissions_avoided,0.564,combined_scope_1_2_emissions_intensity,0.548,scope_3_emissions_intensity,0.545,true,false,false,subject_mismatch;role_mismatch;denominator_mismatch,"Nearest canonical ghg_emissions_avoided is not alias-eligible because: subject_mismatch, role_mismatch, denominator_mismatch.",standard_mapping_candidate,pending,energy,intensity,ratio,production,weight,emissions,avoidance,avoided,,weight,0.551,0.733,0.314,false
nestle_india_p210_2_fact_4,specific GHG emission including International Renewable Energy Certificates (IRECs) reduction,ghg_emission,"Including IRECs, GHG emission reduced from 325 KgCO2eq per ton to 306 KgCO2eq per ton, a reduction of 5.85%.",ghg_emissions_intensity,0.620,ghg_emissions_avoided,0.609,scope_3_emissions_absolute,0.606,true,false,true,subject_mismatch;role_mismatch,"Nearest canonical ghg_emissions_intensity is not alias-eligible because: subject_mismatch, role_mismatch.",standard_mapping_candidate,pending,energy,generation,output,production,percentage,emissions,intensity,ratio,production,percentage,0.639,0.688,0.351,false
nestle_india_p211_1_fact_10,Battery waste,battery_waste,Battery waste (E) 22,waste_generated,0.562,plastic_waste_collected,0.537,e_waste_generated,0.479,true,true,true,,Nearest canonical waste_generated passed the semantic gate; alias requires human approval.,standard_mapping_candidate,pending,waste,generation,output,,weight,waste,generation,output,,weight,0.468,0.385,0.769,false
nestle_india_p211_1_fact_11,Battery waste,battery_waste,Battery waste (E) 14,waste_generated,0.562,plastic_waste_collected,0.537,e_waste_generated,0.479,true,true,true,,Nearest canonical waste_generated passed the semantic gate; alias requires human approval.,standard_mapping_candidate,pending,waste,generation,output,,weight,waste,generation,output,,weight,0.468,0.385,0.769,false
